,count,mean,std,min,25%,50%,75%,max
Maulavi Bazar,30958.0,47.09888558692421,34.147346674330066,2.1,19.8,37.3,66.8,319.8
Mawana,41799.0,84.08471135673102,64.33269161438834,2.9,37.2,65.3,113.9,637.3
Mawlamyine,30943.0,26.309457712568268,19.257177459540685,2.5,10.475,20.4,39.0,142.4
Medinipur,41450.0,57.72523281061521,39.17234436442655,3.4,26.8,46.3,80.3,394.2
Meerut,41799.0,87.57338094212778,69.52961154031125,1.9,37.1,66.6,119.3,777.2
Meiktila,8834.0,28.07960153950645,19.779912563987544,4.5,10.7,21.3,43.4,105.4
Minbu,2259.0,23.75467020805666,17.98907943291713,4.8,9.9,16.4,36.650000000000006,84.0
Mirialguda,41341.0,38.25404924892963,22.26476085130359,3.3,19.9,34.1,53.0,192.9
Mirzapur,39481.0,74.14552569590435,54.52348633488405,4.7,34.1,59.5,99.5,650.0
Mogok,19119.0,26.6406715832418,16.14731383231306,4.7,12.9,21.6,38.4,95.2
Mokameh,41709.0,69.49874008007865,51.5621481382547,5.0,30.9,54.9,95.5,647.4
Monghyr,41709.0,65.63803975161235,46.37077472749711,4.9,29.7,52.8,91.4,537.2
Monywa,8948.0,28.795473848904784,17.376106094385467,4.8,13.6,24.4,41.9,91.4
Moradabad,41842.0,81.47056665551358,64.00737077394068,2.2,36.6,63.1,107.9,973.2
Morena,40127.0,71.00594736710941,50.99855097836661,4.3,34.0,55.6,93.1,647.3
Mothihari,41766.0,64.8089019776852,49.54863029189906,4.3,26.8,50.9,91.3,606.9
Mubarakpur,39956.0,72.96951521673842,52.08028356601085,5.2,33.5,59.1,99.6,587.9
Mudon,30943.0,26.152774456258282,18.978315140857642,2.6,10.5,20.4,38.7,139.8
Mughal Sarai,39728.0,77.01774818767619,58.9439279931477,3.4,34.4,60.9,103.0,759.3
Muradnagar,41782.0,97.53647384040976,79.50314977267341,2.8,40.1,72.0,132.375,978.9
Murwara,30648.0,52.51960976246411,39.38759085374157,2.5,23.7,39.9,71.0,549.4
Muzaffarnagar,41801.0,80.81386450084925,59.74694443295695,3.1,38.2,64.1,106.7,846.2
Muzaffarpur,39022.0,72.96190994823432,65.91677172878661,3.0,27.3,52.5,99.5,852.6
Myaydo,7774.0,30.042140468227426,20.594667543977458,4.3,9.9,25.7,47.0,99.6
Myeik,28548.0,21.481079234972675,12.477141705390647,3.6,12.1,17.8,27.8,242.1
Myingyan,2649.0,23.578557946394866,17.750196395783355,4.9,10.7,16.0,32.9,83.1
Myitkyina,40142.0,29.93777963230532,18.379408832620587,3.7,15.4,25.8,39.7,230.7
Mymensingh,41176.0,58.55041407616086,43.03111010284796,1.9,25.1,44.5,82.2,354.1
Nagarpur,41355.0,66.20812114617338,50.32393271398451,1.6,27.7,49.0,92.2,411.7
Nagda,32808.0,49.38449463545477,28.577458680691002,5.1,28.3,43.8,64.9,544.9
Nagina,41765.0,76.68020351969352,55.25911593558243,3.8,36.3,61.2,102.8,765.7
Naihati,41994.0,64.25264085345525,50.06783938339798,1.9,26.3,48.1,90.4,661.0
Najibabad,41763.0,74.48516988722075,52.452530275194896,3.7,36.1,60.1,99.3,728.0
Naksalbari,35872.0,49.78618978590545,36.92272306911578,2.9,20.6,38.7,70.1,454.3
Nalgonda,41343.0,39.65248772464504,22.84229138920141,3.4,20.5,35.7,55.2,185.9
Nangi,41482.0,61.97260739597898,51.88501985314738,1.3,23.4,44.5,87.5,614.3
Nangloi Jat,39051.0,101.01390361322375,81.63609321528925,4.4,42.9,74.3,136.0,864.6
Narail,42149.0,63.09353958575529,46.64557927074342,1.3,27.1,47.5,88.4,387.4
Narayanganj,41330.0,68.63501330752479,55.352454062430226,1.4,27.0625,49.5,95.6,506.0
Narnaul,38779.0,66.14344877382088,42.629925249731485,4.5,35.9,55.1,85.3,860.7
Narsingdi,41149.0,65.55906340372792,51.91188764970022,1.6,26.3,47.8,91.7,473.6
Narwana,41795.0,67.91460940303864,46.8140215546498,5.1,36.4,55.7,86.1,591.9
Navadwip,41996.0,64.54180398133154,45.96847324178545,3.1,28.6,50.5,91.0,569.1
Nawabganj,41768.0,62.32737382685309,42.195922912042114,4.6,28.6,50.2,87.5,448.0
Nawabganj.1,39820.0,82.99560396785536,60.60367943697184,2.6,38.075,67.1,112.2,719.3
Nawada,40836.0,69.71752987559995,50.32609479589224,5.2,33.0,55.9,93.9,692.2
